,City_State,Jan_2021
0,"New York, New York",2681.4340018664425
1,"Chicago, Illinois",1611.4736473074565
2,"New York, New York",2959.453666683148
3,"Houston, Texas",1896.7078453252168
4,"Chicago, Illinois",1803.4689445664244
5,"Houston, Texas",1572.3528058478732
6,"New York, New York",2655.751523097743
7,"Houston, Texas",1443.564570302229
8,"El Paso, Texas",1092.3606111627455
9,"Chicago, Illinois",1399.746132694163
10,"New York, New York",1955.3689992478905
11,"Austin, Texas",1661.9015946001416
12,"San Francisco, California",2735.7498950628715
13,"New York, New York",2957.5462345080477
14,"Nashville, Tennessee",1766.2677785017913
15,"Chicago, Illinois",1718.4589059395557
16,"New York, New York",3056.924964296982
17,"New York, New York",2089.4821176219557
18,"Los Angeles-Long Beach-Anaheim, California",1955.8012155717606
19,"San Antonio, Texas",1398.4954215698403
20,"Nashville, Tennessee",1448.3626610599574
21,"New York, New York",2227.2608681379916
22,"New York, New York",2644.680548901191
23,"Houston, Texas",1558.2397683957302
24,"Chicago, Illinois",1570.0322456631445
25,"Houston, Texas",1604.6414085621434
26,"New York, New York",3113.326236747065
27,"Washington, District of Columbia",2006.5336314852489
28,"New York, New York",2481.26197164544
29,"Charlotte, North Carolina",1576.9892735719332
30,"Austin, Texas",1573.1174412051619
31,"Houston, Texas",1776.3724629293274
32,"Atlanta, Georgia",1434.0290375241475
33,"El Paso, Texas",1308.4429743633432
34,"Dallas-Fort Worth, Texas",1539.4999469049799
35,"New York, New York",2419.125371693867
36,"Oklahoma City, Oklahoma",1245.876647446012
37,"Washington, District of Columbia",2239.956661005003
38,"Houston, Texas",1547.0092256016574
39,"San Antonio, Texas",1362.4199182342109
40,"Houston, Texas",1871.9425118935776
41,"Chicago, Illinois",1522.3602112615354
42,"Atlanta, Georgia",1429.0307756078748
43,"New York, New York",2924.1795632199155
44,"St. Louis, Missouri",1415.4863511266558
45,"New York, New York",2811.3274575636588
46,"Charlotte, North Carolina",1691.3457386564312
47,"Chicago, Illinois",1367.7780115573776
48,"Atlanta, Georgia",1618.1772236837792
49,"New York, New York",2248.7808237363593
50,"Chicago, Illinois",1091.353613162245
51,"New York, New York",1786.9825805528014
52,"Atlanta, Georgia",1679.6412865302168
53,"New York, New York",2362.6068628628873
54,"New York, New York",2448.988254021247
55,"Seattle, Washington",2025.096967312562
56,"Atlanta, Georgia",1801.1427946893552
57,"Chicago, Illinois",1919.3994112439307
58,"Austin, Texas",1734.6094266180537
59,"Houston, Texas",1365.932909524565
60,"Phoenix, Arizona",1624.7704458545068
61,"Houston, Texas",1618.1227208160276
62,"New York, New York",2737.4803598591634
63,"Austin, Texas",1268.5750356749259
64,"Baltimore, Maryland",1607.847727211267
65,"Miami-Fort Lauderdale, Florida",2411.303367938899
66,"Virginia Beach, Virginia",1554.094148187626
67,"Orlando, Florida",1911.4577473280979
68,"Charlotte, North Carolina",1494.7330796289964
69,"New York, New York",2247.0587362624137
70,"San Francisco, California",2336.0834450098664
71,"Boston, Massachusetts",1859.2660924813351
72,"Miami-Fort Lauderdale, Florida",1573.3556511068068
73,"Chicago, Illinois",1095.4600999232441
74,"San Francisco, California",3391.203043105139
75,"Virginia Beach, Virginia",1458.5691635188616
76,"Miami-Fort Lauderdale, Florida",1713.33081851411
77,"New York, New York",1707.134716691327
78,"Dallas-Fort Worth, Texas",1443.1728267598328
79,"Los Angeles-Long Beach-Anaheim, California",2290.2904963707724
80,"Denver, Colorado",2224.7435301052205
81,"Miami-Fort Lauderdale, Florida",1729.547991408671
82,"Chicago, Illinois",2068.1737087397046
83,"Sacramento, California",2164.3877161766263
84,"Cleveland, Ohio",1168.3805568778741
85,"Kansas City, Missouri",1788.1638104986664
86,"New York, New York",2763.0868410118965
87,"Cleveland, Ohio",731.2430476783145
88,"Phoenix, Arizona",1524.4236285255893
89,"New York, New York",2187.3797948419806
90,"New York, New York",2528.5941381103007
91,"Phoenix, Arizona",1608.7484675845285
92,"Atlanta, Georgia",1429.0424250770561
93,"Nashville, Tennessee",1492.8358758344943
94,"New York, New York",2633.356584685526
95,"Austin, Texas",1699.5782019755127
96,"Philadelphia, Pennsylvania",1169.4430497925057
97,"Riverside, California",2665.7719065843517
98,"New York, New York",2718.7615801945594
99,"Chicago, Illinois",1272.68660974281
100,"Jacksonville, Florida",1189.4019712767283
101,"Los Angeles-Long Beach-Anaheim, California",2548.351517198374
102,"Dallas-Fort Worth, Texas",1822.8427495313713
103,"Houston, Texas",1764.3974646398349
104,"San Diego, California",2144.818200154614
105,"Raleigh, North Carolina",1769.917833769422
106,"Atlanta, Georgia",1745.3813062875672
107,"Fresno, California",1587.0593471826196
108,"Portland, Oregon",2278.3577510423647
109,"Hartford, Connecticut",1134.9691668261821
110,"Fort Myers, Florida",2681.1250385271123
111,"Dallas-Fort Worth, Texas",1713.7704555822634
112,"Las Vegas, Nevada",1234.3426706306427
113,"Phoenix, Arizona",1691.720186406597
114,"Miami-Fort Lauderdale, Florida",1731.3461686300811
115,"Seattle, Washington",2277.2714426111224
116,"Atlanta, Georgia",1426.9771261834353
117,"Sacramento, California",1729.7703113956734
118,"Los Angeles-Long Beach-Anaheim, California",3055.3721199588604
119,"Boston, Massachusetts",1998.864171215069
120,"Denver, Colorado",2176.007575254795
121,"Los Angeles-Long Beach-Anaheim, California",2436.851810841179
122,"Washington, District of Columbia",2009.7162724732107
123,"Atlanta, Georgia",1594.178081921198
124,"Charlotte, North Carolina",1659.7126789905483
125,"Chicago, Illinois",1293.5014631324098
126,"Raleigh, North Carolina",1444.902019539331
127,"Fort Myers, Florida",3339.686902580737
128,"Dallas-Fort Worth, Texas",1896.6351936863603
129,"Seattle, Washington",1908.2982437827523
130,"Houston, Texas",1686.5784229241624
131,"Sacramento, California",2284.827577646206
132,"Las Vegas, Nevada",1134.603025927664
133,"Dallas-Fort Worth, Texas",1380.840606196779
134,"San Diego, California",2216.451162872689
135,"New York, New York",2229.6842923804343
136,"Chicago, Illinois",1620.4175801775236
137,"Washington, District of Columbia",2240.8154090461862
138,"Dallas-Fort Worth, Texas",1828.511302776403
139,"Riverside, California",1978.4090897059916
140,"San Diego, California",2175.097433865426
141,"Charlotte, North Carolina",1310.9205922671495
142,"Jacksonville, Florida",1405.2414398828528
143,"Washington, District of Columbia",1866.359543673113
144,"Jacksonville, Florida",1304.0620849845172
145,"Virginia Beach, Virginia",1423.100948719255
146,"San Diego, California",2341.16602041334
147,"Orlando, Florida",1593.9825429532177
148,"Atlanta, Georgia",1695.6347836058364
149,"Houston, Texas",1701.4974902897493
150,"New York, New York",1707.996786748165
151,"Atlanta, Georgia",2037.6706992604943
152,"Chicago, Illinois",1405.1705368790163
153,"Miami-Fort Lauderdale, Florida",1755.3467326778646
154,"San Francisco, California",2647.8835792237523
155,"Las Vegas, Nevada",1597.8493695224759
156,"Tulsa, Oklahoma",1201.4320297634351
157,"New York, New York",1749.0279460500524
158,"Greeley, Colorado",1522.1896089315615
159,"Columbus, Ohio",1439.9297089289144
160,"Riverside, California",2450.219043133562
161,"Las Vegas, Nevada",1446.845794592671
162,"Atlanta, Georgia",1514.004194361256
163,"Washington, District of Columbia",2226.707124923026
164,"Jacksonville, Florida",1378.998117471661
165,"Baltimore, Maryland",1758.0844579574075
166,"New York, New York",2357.9679809140084
167,"Riverside, California",2356.989782505967
168,"New York, New York",2025.8401759245887
169,"Dallas-Fort Worth, Texas",1545.8468409588902
170,"Los Angeles-Long Beach-Anaheim, California",2160.1554648453134
171,"Nashville, Tennessee",1496.3069744081974
172,"San Diego, California",2273.7117670157113
173,"Atlanta, Georgia",1878.5463409650213
174,"Chicago, Illinois",1348.4445098008819
175,"New York, New York",1902.4795824863256
176,"Orlando, Florida",1301.9090765060723
177,"Atlanta, Georgia",1587.5317266897587
178,"Dallas-Fort Worth, Texas",1363.2772785565844
179,"Boston, Massachusetts",2169.1705006097473
180,"Port St. Lucie, Florida",1807.8153531255302
181,"Nashville, Tennessee",1270.2909019674375
182,"Boston, Massachusetts",2195.702201095125
183,"New York, New York",2157.5879638283395
184,"Miami-Fort Lauderdale, Florida",1466.5813170571746
185,"Los Angeles-Long Beach-Anaheim, California",2450.3733891593415
186,"Los Angeles-Long Beach-Anaheim, California",2087.616239952813
187,"Riverside, California",2455.403759202184
188,"San Jose, California",3106.878883342589
189,"San Diego, California",1685.5190001856715
190,"Albuquerque, New Mexico",1275.3434393497937
191,"Washington, District of Columbia",1964.7511415791837
192,"Chicago, Illinois",1132.6085778030088
193,"Miami-Fort Lauderdale, Florida",1469.075766083824
194,"Durham, North Carolina",1485.038782472835
195,"Virginia Beach, Virginia",1525.0762578352358
196,"Chicago, Illinois",1224.1690686286092
197,"Miami-Fort Lauderdale, Florida",1778.9063038214495
198,"Los Angeles-Long Beach-Anaheim, California",2519.421209030694
199,"Miami-Fort Lauderdale, Florida",1962.5919953063146
200,"Tucson, Arizona",912.1153400882138
201,"Washington, District of Columbia",2246.6120608365227
202,"Los Angeles-Long Beach-Anaheim, California",2853.572707786953
203,"Washington, District of Columbia",2137.727444084724
204,"Atlanta, Georgia",1946.909730897661
205,"Atlanta, Georgia",1819.003742050667
206,"Virginia Beach, Virginia",1260.7756280854267
207,"Phoenix, Arizona",1770.6849386515455
208,"Portland, Oregon",1740.6390196348261
209,"San Jose, California",3089.5300805377356
210,"Richmond, Virginia",1229.9820587201543
211,"New York, New York",2070.4665482597693
212,"Houston, Texas",1380.5384819364908
213,"New York, New York",1822.4475305244175
214,"Chicago, Illinois",1767.0291236592218
215,"Denver, Colorado",2103.016122425212
216,"Washington, District of Columbia",1863.2727673265927
217,"New York, New York",2479.997362682115
218,"Fort Collins, Colorado",1392.3570739909965
219,"Atlanta, Georgia",1616.205126589321
220,"Miami-Fort Lauderdale, Florida",1419.4538330106625
221,"Los Angeles-Long Beach-Anaheim, California",2281.903778018552
222,"Nashville, Tennessee",2037.647611726868
223,"Nashville, Tennessee",1427.2627004292112
224,"Seattle, Washington",1929.7476019950461
225,"San Francisco, California",2773.0024968268963
226,"San Jose, California",2667.7136837407083
227,"Los Angeles-Long Beach-Anaheim, California",2784.134416157328
228,"Orlando, Florida",1783.0887088057154
229,"Jacksonville, Florida",1517.246304144745
230,"Dallas-Fort Worth, Texas",1253.8603469417812
231,"Los Angeles-Long Beach-Anaheim, California",1984.2752856914108
232,"Houston, Texas",1848.830207627146
233,"Virginia Beach, Virginia",1421.6288013148983
234,"Atlanta, Georgia",1685.2544827848656
235,"Nashville, Tennessee",1820.4488202290838
236,"Oklahoma City, Oklahoma",1232.79649191058
237,"Las Vegas, Nevada",1630.8149868421742
238,"Columbus, Ohio",1292.4321297947847
239,"Los Angeles-Long Beach-Anaheim, California",2514.0365623680646
240,"Greenville, South Carolina",1572.2816374980284
241,"Chicago, Illinois",1543.9541076593346
242,"New York, New York",1921.8409381770055
243,"Miami-Fort Lauderdale, Florida",1336.8863542654658
244,"Seattle, Washington",1762.8868954344055
245,"St. Louis, Missouri",1104.6264954574146
246,"Los Angeles-Long Beach-Anaheim, California",2677.3168753128402
247,"Virginia Beach, Virginia",1542.2721847995776
248,"San Francisco, California",2071.0935681952237
249,"Sacramento, California",1933.8624467921777
250,"Chicago, Illinois",1298.372173385248
251,"San Antonio, Texas",1315.7795969343863
252,"Las Vegas, Nevada",1506.172689998311
253,"Baltimore, Maryland",1989.421413386925
254,"Las Vegas, Nevada",1661.483718196227
255,"Houston, Texas",1360.23802496928
256,"Philadelphia, Pennsylvania",1455.0072890432393
257,"San Antonio, Texas",1594.8453051820586
258,"San Francisco, California",2862.000313446353
259,"Miami-Fort Lauderdale, Florida",2140.68677747114
260,"Durham, North Carolina",1287.4979694914841
261,"North Port-Sarasota-Bradenton, Florida",2073.026091159958
262,"Charleston, South Carolina",1603.3787868908316
263,"Seattle, Washington",1715.0502787530907
264,"Miami-Fort Lauderdale, Florida",1482.2800439949222
265,"Dallas-Fort Worth, Texas",1728.900814715427
266,"Chicago, Illinois",1301.2632595831396
267,"Charlotte, North Carolina",1447.9563200476732
268,"Dallas-Fort Worth, Texas",1739.271974749016
269,"Chicago, Illinois",1512.1691142267255
270,"Boston, Massachusetts",1858.2460359509303
271,"Dallas-Fort Worth, Texas",1550.7376490973575
272,"Nashville, Tennessee",1612.7843882586565
273,"Spokane, Washington",1504.9254902482976
274,"New York, New York",2112.128144304649
275,"Baltimore, Maryland",1489.6894611547734
276,"Washington, District of Columbia",1813.0208311298277
277,"Raleigh, North Carolina",1749.675978358687
278,"Houston, Texas",1658.427633291132
279,"Phoenix, Arizona",1460.3024189918647
280,"Charleston, South Carolina",1458.2744747337451
281,"Charlotte, North Carolina",1413.4164715244578
282,"New York, New York",2060.4979454649388
283,"San Francisco, California",2422.4511607607983
284,"San Francisco, California",2725.9623316209295
285,"Austin, Texas",1366.3658627517123
286,"Dallas-Fort Worth, Texas",1748.0977441940706
287,"Los Angeles-Long Beach-Anaheim, California",1978.355993797776
288,"Miami-Fort Lauderdale, Florida",2153.455787083486
289,"San Antonio, Texas",1315.6120480696754
290,"Chicago, Illinois",1374.2997504581576
291,"Austin, Texas",1372.3200951342699
292,"San Francisco, California",2698.108773085396
293,"Charlotte, North Carolina",1521.0168062250993
294,"Boise City, Idaho",1728.4264968552304
295,"Chicago, Illinois",1382.413364867832
296,"Atlanta, Georgia",1332.4934692691832
297,"San Diego, California",1878.183102416737
298,"Washington, District of Columbia",1974.1998895598256
299,"Houston, Texas",1619.5880784522226
300,"Chattanooga, Tennessee",1412.7902588886623
301,"Chicago, Illinois",1465.6871630041858
302,"St. Louis, Missouri",1538.8542168327729
303,"Los Angeles-Long Beach-Anaheim, California",2261.1100546109856
304,"Nashville, Tennessee",1563.3163339988744
305,"Albuquerque, New Mexico",1207.7237685348673
306,"Augusta, Georgia",967.1960664437253
307,"Orlando, Florida",1659.3726195582233
308,"Washington, District of Columbia",1566.8177943079347
309,"Tampa, Florida",1595.3289476998793
310,"Phoenix, Arizona",1239.9656098288929
311,"San Diego, California",2006.3550996493545
312,"Houston, Texas",1601.4196541264268
313,"Atlanta, Georgia",1809.8799557619589
314,"Baltimore, Maryland",1683.4044741782482
315,"Portland, Oregon",1644.7114240979045
316,"Phoenix, Arizona",1471.9583825693558
317,"Los Angeles-Long Beach-Anaheim, California",3086.0937250623474
318,"Austin, Texas",1392.2813609770233
319,"San Diego, California",2356.5676884720506
320,"New Haven, Connecticut",1515.6796151531842
321,"Boston, Massachusetts",1865.3009619291147
322,"Las Vegas, Nevada",940.5694773248897
323,"Nashville, Tennessee",2311.2836211168105
324,"Phoenix, Arizona",1156.6625773347882
325,"Phoenix, Arizona",1387.1711034347734
326,"Minneapolis-St Paul, Minnesota",1675.80571154988
327,"San Francisco, California",2544.004873407426
328,"Chicago, Illinois",1457.5666076100968
329,"Austin, Texas",1617.820975892511
330,"Tampa, Florida",1622.176913159244
331,"Miami-Fort Lauderdale, Florida",2366.2374540457586
332,"Sacramento, California",2095.272826506512
333,"Baltimore, Maryland",1506.5570045441955
334,"Los Angeles-Long Beach-Anaheim, California",2983.9087956506764
335,"New York, New York",2413.9422052491873
336,"New York, New York",2321.360558009062
337,"Charlotte, North Carolina",1424.0996446600318
338,"Virginia Beach, Virginia",2066.7888216765514
339,"El Paso, Texas",1033.691598871758
340,"Los Angeles-Long Beach-Anaheim, California",3244.7093670423865
341,"Austin, Texas",1285.896923176365
342,"Orlando, Florida",1720.9432309570325
343,"Philadelphia, Pennsylvania",2124.628960376438
344,"Dallas-Fort Worth, Texas",1645.038761440403
345,"Philadelphia, Pennsylvania",1210.5310958016198
346,"Chicago, Illinois",1700.9142613765243
347,"Oklahoma City, Oklahoma",1446.142219960862
348,"Atlanta, Georgia",1698.1285903110977
349,"Las Vegas, Nevada",1480.9613068889025
350,"Atlanta, Georgia",1421.1611976891977
351,"Miami-Fort Lauderdale, Florida",3921.491955339019
352,"San Jose, California",3315.3697652075
353,"Seattle, Washington",1634.6573438557136
354,"Riverside, California",1551.464643167575
355,"San Jose, California",2212.5967860386104
356,"San Antonio, Texas",1764.9270207083132
357,"Phoenix, Arizona",1161.886526232951
358,"Charlotte, North Carolina",1713.8996197827682
359,"Cincinnati, Ohio",947.5160979381117
360,"Atlanta, Georgia",1300.2302373905436
361,"Los Angeles-Long Beach-Anaheim, California",2719.4553451603233
362,"San Diego, California",2851.551637522052
363,"Denver, Colorado",2405.0845108596613
364,"Greensboro, North Carolina",1403.3680433495274
365,"San Diego, California",1689.263161207845
366,"Miami-Fort Lauderdale, Florida",2230.2927156256105
367,"Ogden, Utah",1323.179679566031
368,"Cincinnati, Ohio",1432.5502187489765
369,"San Diego, California",2334.185990083017
370,"Houston, Texas",1428.2242913475395
371,"Virginia Beach, Virginia",1623.3864532545315
372,"Washington, District of Columbia",1826.52924856342
373,"Charleston, South Carolina",1536.4504953111355
374,"Boston, Massachusetts",2208.133705338904
375,"Philadelphia, Pennsylvania",1407.5374480446649
376,"Washington, District of Columbia",1663.407174284273
377,"Miami-Fort Lauderdale, Florida",1515.3038604810054
378,"Atlanta, Georgia",1677.673748289563
379,"Riverside, California",2073.016948757128
380,"Houston, Texas",1460.4871389237214
381,"Madison, Wisconsin",1640.9085839346958
382,"Dallas-Fort Worth, Texas",1675.3707187268792
383,"New York, New York",1755.162138535564
384,"New York, New York",2179.2591198020873
