YEAR,City_State,POPULATION
2021,"El Dorado Hills, California",46192.0
2021,"Eldridge, California",1208.0
2021,"El Granada, California",6695.0
2021,"Elizabeth Lake, California",1941.0
2021,"Elk Creek, California",239.0
2021,"Elk Grove, California",178862.0
2021,"Elkhorn, California",805.0
2021,"Elmira, California",291.0
2021,"El Monte, California",116635.0
2021,"El Nido, California",420.0
2021,"El Paso de Robles (Paso Robles), California",32733.0
2021,"El Portal, California",263.0
2021,"El Rancho, California",93.0
2021,"El Rio, California",7166.0
2021,"El Segundo, California",16984.0
2021,"El Sobrante (Contra Costa County), California",13510.0
2021,"El Sobrante (Riverside County), California",15703.0
2021,"El Verano, California",3531.0
2021,"Elverta, California",5882.0
2021,"Emerald Lake Hills, California",4792.0
2021,"Emeryville, California",12559.0
2021,"Empire, California",4187.0
2021,"Encinitas, California",64288.0
2021,"Escalon, California",7663.0
2021,"Escondido, California",155173.0
2021,"Esparto, California",3943.0
2021,"Etna, California",746.0
2021,"Eucalyptus Hills, California",5930.0
2021,"Eureka, California",27003.0
2021,"Exeter, California",10646.0
2021,"Fairbanks Ranch, California",3020.0
2021,"Fairfax, California",7700.0
2021,"Fairfield, California",117878.0
2021,"Fairmead, California",2054.0
2021,"Fair Oaks, California",31388.0
2021,"Fairview, California",10760.0
2021,"Fallbrook, California",32652.0
2021,"Fall River Mills, California",246.0
2021,"Farmersville, California",10901.0
2021,"Farmington, California",26.0
2021,"Fellows, California",17.0
2021,"Felton, California",3333.0
2021,"Ferndale, California",1304.0
2021,"Fetters Hot Springs-Agua Caliente, California",5147.0
2021,"Fiddletown, California",380.0
2021,"Fieldbrook, California",813.0
2021,"Fields Landing, California",262.0
2021,"Fillmore, California",15920.0
2021,"Firebaugh, California",8666.0
2021,"Fish Camp, California",115.0
2021,"Florence-Graham, California",66036.0
2021,"Florin, California",48892.0
2021,"Floriston, California",16.0
2021,"Flournoy, California",188.0
2021,"Folsom, California",79888.0
2021,"Fontana, California",216440.0
2021,"Foothill Farms, California",34981.0
2021,"Forbestown, California",361.0
2021,"Ford City, California",4848.0
2021,"Foresthill, California",1367.0
2021,"Forest Meadows, California",1559.0
2021,"Forest Ranch, California",321.0
2021,"Forestville, California",3809.0
2021,"Fort Bidwell, California",233.0
2021,"Fort Bragg, California",7324.0
2021,"Fort Irwin, California",9341.0
2021,"Fort Jones, California",913.0
2021,"Fortuna, California",12247.0
2021,"Fort Washington, California",822.0
2021,"Foster City, California",35320.0
2021,"Fountain Valley, California",57056.0
2021,"Fowler, California",6763.0
2021,"Franklin (Merced County), California",8197.0
2021,"Franklin (Sacramento County), California",148.0
2021,"Frazier Park, California",2571.0
2021,"Freedom, California",3631.0
2021,"Freeport, California",89.0
2021,"Fremont, California",242576.0
2021,"French Camp, California",3138.0
2021,"French Gulch, California",587.0
2021,"French Valley, California",37954.0
2021,"Fresno, California",536470.0
2021,"Friant, California",573.0
2021,"Fruitdale, California",870.0
2021,"Fruitridge Pocket, California",6133.0
2021,"Fuller Acres, California",863.0
2021,"Fullerton, California",142747.0
2021,"Fulton, California",562.0
2021,"Furnace Creek, California",161.0
2021,"Galt, California",26551.0
2021,"Garberville, California",1197.0
2021,"Gardena, California",60491.0
2021,"Garden Acres, California",10675.0
2021,"Garden Farms, California",316.0
2021,"Garden Grove, California",176371.0
2021,"Garey, California",187.0
2021,"Garnet, California",5375.0
2021,"Gasquet, California",802.0
2021,"Gazelle, California",-7.0
2021,"Georgetown, California",2593.0
2021,"Gerber, California",1376.0
2021,"Geyserville, California",836.0
2021,"Gilroy, California",58541.0
2021,"Glen Avon, California",28453.0
2021,"Glendale, California",203237.0
2021,"Glendora, California",52534.0
2021,"Glen Ellen, California",714.0
2021,"Golden Hills, California",9541.0
2021,"Gold Mountain, California",5.0
2021,"Gold River, California",7139.0
2021,"Goleta, California",31463.0
2021,"Gonzales, California",8596.0
2021,"Good Hope, California",9479.0
2021,"Goodyears Bar, California",-37.0
2021,"Goshen, California",3500.0
2021,"Graeagle, California",503.0
2021,"Grand Terrace, California",12621.0
2021,"Grangeville, California",471.0
2021,"Granite Bay, California",22876.0
2021,"Granite Hills, California",2977.0
2021,"Graniteville, California",6.0
2021,"Grass Valley, California",12951.0
2021,"Graton, California",1929.0
