city_state,id_num,population,crime_rate,rental_rate,walk_score
"El Dorado Hills, California",0,46192.0,46.36,2477.6,12.0
"Eldridge, California",1,1208.0,46.36,2477.6,44.5
"El Granada, California",2,6695.0,46.36,2477.6,44.5
"Elizabeth Lake, California",3,1941.0,46.36,2477.6,44.5
"Elk Creek, California",4,239.0,46.36,2477.6,44.5
"Elk Grove, California",5,178862.0,15.9,2477.6,32.0
"Elkhorn, California",6,805.0,46.36,2477.6,44.5
"Elmira, California",7,291.0,46.36,2477.6,44.5
"El Monte, California",8,116635.0,22.4,2477.6,62.0
"El Nido, California",9,420.0,46.36,2477.6,44.5
"El Paso de Robles (Paso Robles), California",10,32733.0,46.36,2477.6,40.0
"El Portal, California",11,263.0,46.36,2477.6,44.5
"El Rancho, California",12,93.0,46.36,2477.6,44.5
"El Rio, California",13,7166.0,46.36,2477.6,44.5
"El Segundo, California",14,16984.0,46.0,2477.6,65.0
"El Sobrante (Contra Costa County), California",15,13510.0,46.36,2477.6,44.5
"El Sobrante (Riverside County), California",16,15703.0,46.36,2477.6,44.5
"El Verano, California",17,3531.0,46.36,2477.6,44.5
"Elverta, California",18,5882.0,46.36,2477.6,44.5
"Emerald Lake Hills, California",19,4792.0,46.36,2477.6,44.5
"Emeryville, California",20,12559.0,181.8,2477.6,44.5
"Empire, California",21,4187.0,46.36,2477.6,44.5
"Encinitas, California",22,64288.0,14.3,2477.6,41.0
"Escalon, California",23,7663.0,18.9,2477.6,44.5
"Escondido, California",24,155173.0,21.4,2477.6,44.0
"Esparto, California",25,3943.0,46.36,2477.6,44.5
"Etna, California",26,746.0,0.0,2477.6,44.5
"Eucalyptus Hills, California",27,5930.0,46.36,2477.6,44.5
"Eureka, California",28,27003.0,62.1,2477.6,64.0
"Exeter, California",29,10646.0,27.9,2477.6,44.5
"Fairbanks Ranch, California",30,3020.0,46.36,2477.6,44.5
"Fairfax, California",31,7700.0,16.0,2477.6,44.5
"Fairfield, California",32,117878.0,32.8,2477.6,32.0
"Fairmead, California",33,2054.0,46.36,2477.6,44.5
"Fair Oaks, California",34,31388.0,46.36,2477.6,37.0
"Fairview, California",35,10760.0,46.36,2477.6,44.5
"Fallbrook, California",36,32652.0,46.36,2477.6,38.0
"Fall River Mills, California",37,246.0,46.36,2477.6,44.5
"Farmersville, California",38,10901.0,21.7,2477.6,44.5
"Farmington, California",39,26.0,46.36,2477.6,44.5
"Fellows, California",40,17.0,46.36,2477.6,44.5
"Felton, California",41,3333.0,46.36,2477.6,44.5
"Ferndale, California",42,1304.0,18.9,2477.6,44.5
"Fetters Hot Springs-Agua Caliente, California",43,5147.0,46.36,2477.6,44.5
"Fiddletown, California",44,380.0,46.36,2477.6,44.5
"Fieldbrook, California",45,813.0,46.36,2477.6,44.5
"Fields Landing, California",46,262.0,46.36,2477.6,44.5
"Fillmore, California",47,15920.0,10.9,2477.6,44.5
"Firebaugh, California",48,8666.0,18.5,2477.6,44.5
"Fish Camp, California",49,115.0,46.36,2477.6,44.5
"Florence-Graham, California",50,66036.0,46.36,2477.6,75.0
"Florin, California",51,48892.0,46.36,2477.6,42.0
"Floriston, California",52,16.0,46.36,2477.6,44.5
"Flournoy, California",53,188.0,46.36,2477.6,44.5
"Folsom, California",54,79888.0,16.9,2477.6,30.0
"Fontana, California",55,216440.0,18.4,2477.6,36.0
"Foothill Farms, California",56,34981.0,46.36,2477.6,41.0
"Forbestown, California",57,361.0,46.36,2477.6,44.5
"Ford City, California",58,4848.0,46.36,2477.6,44.5
"Foresthill, California",59,1367.0,46.36,2477.6,44.5
"Forest Meadows, California",60,1559.0,46.36,2477.6,44.5
"Forest Ranch, California",61,321.0,46.36,2477.6,44.5
"Forestville, California",62,3809.0,46.36,2477.6,44.5
"Fort Bidwell, California",63,233.0,46.36,2477.6,44.5
"Fort Bragg, California",64,7324.0,47.2,2477.6,44.5
"Fort Irwin, California",65,9341.0,46.36,2477.6,44.5
"Fort Jones, California",66,913.0,24.6,2477.6,44.5
"Fortuna, California",67,12247.0,32.5,2477.6,44.5
"Fort Washington, California",68,822.0,46.36,2477.6,44.5
"Foster City, California",69,35320.0,11.7,2477.6,44.0
"Fountain Valley, California",70,57056.0,27.4,2477.6,55.0
"Fowler, California",71,6763.0,19.5,2477.6,44.5
"Franklin (Merced County), California",72,8197.0,46.36,2477.6,44.5
"Franklin (Sacramento County), California",73,148.0,46.36,2477.6,44.5
"Frazier Park, California",74,2571.0,46.36,2477.6,44.5
"Freedom, California",75,3631.0,46.36,2477.6,44.5
"Freeport, California",76,89.0,46.36,2477.6,44.5
"Fremont, California",77,242576.0,21.8,2477.6,48.0
"French Camp, California",78,3138.0,46.36,2477.6,44.5
"French Gulch, California",79,587.0,46.36,2477.6,44.5
"French Valley, California",80,37954.0,46.36,2477.6,8.0
"Fresno, California",81,536470.0,39.0,1842.7,45.0
"Friant, California",82,573.0,46.36,2477.6,44.5
"Fruitdale, California",83,870.0,46.36,2477.6,44.5
"Fruitridge Pocket, California",84,6133.0,46.36,2477.6,44.5
"Fuller Acres, California",85,863.0,46.36,2477.6,44.5
"Fullerton, California",86,142747.0,28.3,2477.6,53.0
"Fulton, California",87,562.0,46.36,2477.6,44.5
"Furnace Creek, California",88,161.0,46.36,2477.6,44.5
"Galt, California",89,26551.0,21.0,2477.6,31.0
"Garberville, California",90,1197.0,46.36,2477.6,44.5
"Gardena, California",91,60491.0,27.0,2477.6,75.0
"Garden Acres, California",92,10675.0,46.36,2477.6,44.5
"Garden Farms, California",93,316.0,46.36,2477.6,44.5
"Garden Grove, California",94,176371.0,26.0,2477.6,61.0
"Garey, California",95,187.0,46.36,2477.6,44.5
"Garnet, California",96,5375.0,46.36,2477.6,44.5
"Gasquet, California",97,802.0,46.36,2477.6,44.5
"Gazelle, California",98,-7.0,46.36,2477.6,44.5
"Georgetown, California",99,2593.0,46.36,2477.6,44.5
"Gerber, California",100,1376.0,46.36,2477.6,44.5
"Geyserville, California",101,836.0,46.36,2477.6,44.5
"Gilroy, California",102,58541.0,30.8,2477.6,42.0
"Glen Avon, California",103,28453.0,46.36,2477.6,26.0
"Glendale, California",104,203237.0,16.2,2477.6,71.0
"Glendora, California",105,52534.0,31.2,2477.6,45.0
"Glen Ellen, California",106,714.0,46.36,2477.6,44.5
"Golden Hills, California",107,9541.0,46.36,2477.6,44.5
"Gold Mountain, California",108,5.0,46.36,2477.6,44.5
"Gold River, California",109,7139.0,46.36,2477.6,44.5
"Goleta, California",110,31463.0,12.6,2477.6,42.0
"Gonzales, California",111,8596.0,10.0,2477.6,44.5
"Good Hope, California",112,9479.0,46.36,2477.6,44.5
"Goodyears Bar, California",113,-37.0,46.36,2477.6,44.5
"Goshen, California",114,3500.0,46.36,2477.6,44.5
"Graeagle, California",115,503.0,46.36,2477.6,44.5
"Grand Terrace, California",116,12621.0,23.0,2477.6,44.5
"Grangeville, California",117,471.0,46.36,2477.6,44.5
"Granite Bay, California",118,22876.0,46.36,2477.6,12.0
"Granite Hills, California",119,2977.0,46.36,2477.6,44.5
"Graniteville, California",120,6.0,46.36,2477.6,44.5
"Grass Valley, California",121,12951.0,45.1,2477.6,44.5
"Graton, California",122,1929.0,46.36,2477.6,44.5
"Grayson, California",123,1032.0,46.36,2477.6,44.5
"Greeley Hill, California",124,592.0,46.36,2477.6,44.5
"Greenacres, California",125,5612.0,46.36,2477.6,44.5
"Green Acres, California",126,3082.0,46.36,2477.6,44.5
"Greenfield, California",127,10878.0,16.4,2477.6,44.5
"Greenhorn, California",128,264.0,46.36,2477.6,44.5
"Green Valley (Los Angeles County), California",129,979.0,46.36,2477.6,44.5
"Green Valley (Solano County), California",130,1292.0,46.36,2477.6,44.5
"Greenview, California",131,149.0,46.36,2477.6,44.5
"Greenville, California",132,946.0,46.36,2477.6,44.5
"Grenada, California",133,527.0,46.36,2477.6,44.5
"Gridley, California",134,6700.0,49.9,2477.6,44.5
"Grimes, California",135,246.0,46.36,2477.6,44.5
"Grizzly Flats, California",136,1123.0,46.36,2477.6,44.5
"Groveland, California",137,312.0,46.36,2477.6,44.5
"Grover Beach, California",138,13695.0,20.2,2477.6,44.5
"Guadalupe, California",139,7597.0,8.4,2477.6,44.5
"Guerneville, California",140,4761.0,46.36,2477.6,44.5
"Guinda, California",141,255.0,46.36,2477.6,44.5
"Gustine, California",142,5899.0,22.6,2477.6,44.5
"Hacienda Heights, California",143,54727.0,46.36,2477.6,34.0
"Half Moon Bay, California",144,13296.0,46.36,2477.6,44.5
"Hamilton Branch, California",145,544.0,46.36,2477.6,44.5
"Hamilton City, California",146,2310.0,46.36,2477.6,44.5
"Hanford, California",147,57255.0,27.1,2477.6,35.0
"Happy Camp, California",148,680.0,46.36,2477.6,44.5
"Harbison Canyon, California",149,4375.0,46.36,2477.6,44.5
"Hardwick, California",150,93.0,46.36,2477.6,44.5
"Hartland, California",151,0.0,46.36,2477.6,44.5
"Hartley, California",152,3092.0,46.36,2477.6,44.5
"Hasley Canyon, California",153,1123.0,46.36,2477.6,44.5
"Hat Creek, California",154,183.0,46.36,2477.6,44.5
"Hawaiian Gardens, California",155,14466.0,22.9,2477.6,44.5
"Hawthorne, California",156,88626.0,26.3,2477.6,71.0
"Hayfork, California",157,2912.0,46.36,2477.6,44.5
"Hayward, California",158,164595.0,33.4,2477.6,55.0
"Healdsburg, California",159,12054.0,20.4,2477.6,44.5
"Heber, California",160,3622.0,46.36,2477.6,44.5
"Hemet, California",161,87056.0,38.3,2477.6,30.0
"Herald, California",162,1085.0,46.36,2477.6,44.5
"Hercules, California",163,26300.0,14.8,2477.6,25.0
"Herlong, California",164,1467.0,46.36,2477.6,44.5
"Hermosa Beach, California",165,19791.0,25.7,2477.6,87.0
"Hesperia, California",166,96461.0,25.6,2477.6,15.0
"Hickman, California",167,644.0,46.36,2477.6,44.5
"Hidden Hills, California",168,1315.0,7.8,2477.6,44.5
"Hidden Meadows, California",169,3191.0,46.36,2477.6,44.5
"Hidden Valley Lake, California",170,5605.0,46.36,2477.6,44.5
"Highgrove, California",171,5230.0,46.36,2477.6,44.5
"Highland, California",172,55885.0,24.3,2477.6,33.0
